,loss,learning_rate,epoch,step,eval_loss,eval_f_against,eval_f_favor,eval_f_avg,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,0.8739,1.8e-05,1.0,147,,,,,,,,,,,,
1,,,1.0,147,0.7223415374755859,0.29771689497716897,0.27405696689761355,0.28588693093739126,2.6491,441.66,13.967,,,,,
2,0.5009,1.6000000000000003e-05,2.0,294,,,,,,,,,,,,
3,,,2.0,294,0.42404884099960327,0.3240033927056828,0.26666666666666666,0.29533502968617475,2.7067,432.261,13.67,,,,,
4,0.2695,1.4e-05,3.0,441,,,,,,,,,,,,
5,,,3.0,441,0.2870062291622162,0.32342112715944493,0.3049645390070922,0.31419283308326856,2.6486,441.744,13.97,,,,,
6,0.1417,1.2e-05,4.0,588,,,,,,,,,,,,
7,,,4.0,588,0.21072165668010712,0.32859135285913527,0.31176061238691716,0.3201759826230262,2.6446,442.416,13.991,,,,,
8,0.07,1e-05,5.0,735,,,,,,,,,,,,
9,,,5.0,735,0.2233836054801941,0.33,0.3197278911564626,0.3248639455782313,2.6784,436.821,13.814,,,,,
10,0.0377,8.000000000000001e-06,6.0,882,,,,,,,,,,,,
11,,,6.0,882,0.15637490153312683,0.3297192104531554,0.3225371120107962,0.3261281612319758,2.6496,441.573,13.964,,,,,
12,0.0218,6e-06,7.0,1029,,,,,,,,,,,,
13,,,7.0,1029,0.15685589611530304,0.3297192104531554,0.3225371120107962,0.3261281612319758,2.663,439.36,13.894,,,,,
14,0.0123,4.000000000000001e-06,8.0,1176,,,,,,,,,,,,
15,,,8.0,1176,0.15616652369499207,0.3297192104531554,0.3239247311827957,0.32682197081797554,2.6668,438.726,13.874,,,,,
16,0.0099,2.0000000000000003e-06,9.0,1323,,,,,,,,,,,,
17,,,9.0,1323,0.16085664927959442,0.3294379521424597,0.3253012048192771,0.3273695784808684,2.6796,436.638,13.808,,,,,
18,0.0053,0.0,10.0,1470,,,,,,,,,,,,
19,,,10.0,1470,0.1550808697938919,0.3297192104531554,0.3253012048192771,0.32751020763621624,2.6664,438.8,13.877,,,,,
20,,,10.0,1470,,,,,,,,380.4479,123.013,3.864,3078426987417600.0,0.19429485858703147
21,,,10.0,1470,2.0088260173797607,0.3012442698100851,0.2465829846582985,0.2739136272341918,6.6284,439.625,13.88,,,,,
