,loss,learning_rate,epoch,step,eval_loss,eval_f_against,eval_f_favor,eval_f_avg,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,0.8972,1.8e-05,1.0,147,,,,,,,,,,,,
1,,,1.0,147,0.6658709049224854,0.29976019184652275,0.22537431048069345,0.26256725116360813,2.6715,439.454,13.85,,,,,
2,0.5769,1.6000000000000003e-05,2.0,294,,,,,,,,,,,,
3,,,2.0,294,0.49595093727111816,0.3240973971452561,0.26262626262626265,0.2933618298857594,2.6772,438.519,13.82,,,,,
4,0.3275,1.4e-05,3.0,441,,,,,,,,,,,,
5,,,3.0,441,0.3498871922492981,0.3240973971452561,0.30769230769230765,0.3158948524187819,2.6571,441.837,13.925,,,,,
6,0.1779,1.2e-05,4.0,588,,,,,,,,,,,,
7,,,4.0,588,0.21146805584430695,0.327796234772979,0.31379962192816635,0.32079792835057264,2.6466,443.595,13.98,,,,,
8,0.0853,1e-05,5.0,735,,,,,,,,,,,,
9,,,5.0,735,0.1749998778104782,0.32919768403639366,0.3203463203463203,0.324772002191357,2.6747,438.934,13.834,,,,,
10,0.0565,8.000000000000001e-06,6.0,882,,,,,,,,,,,,
11,,,6.0,882,0.13626602292060852,0.3289183222958057,0.3235294117647059,0.3262238670302558,2.6478,443.387,13.974,,,,,
12,0.0264,6e-06,7.0,1029,,,,,,,,,,,,
13,,,7.0,1029,0.12794643640518188,0.3269497640854843,0.32788868723532966,0.327419225660407,2.6608,441.216,13.905,,,,,
14,0.0116,4.000000000000001e-06,8.0,1176,,,,,,,,,,,,
15,,,8.0,1176,0.116032175719738,0.3289183222958057,0.32850241545893716,0.32871036887737143,2.6505,442.937,13.96,,,,,
16,0.0097,2.0000000000000003e-06,9.0,1323,,,,,,,,,,,,
17,,,9.0,1323,0.1081857904791832,0.33058758923668313,0.32788868723532966,0.3292381382360064,2.694,435.789,13.734,,,,,
18,0.0069,0.0,10.0,1470,,,,,,,,,,,,
19,,,10.0,1470,0.108812116086483,0.33058758923668313,0.32727272727272727,0.3289301582547052,2.6621,441.007,13.899,,,,,
20,,,10.0,1470,,,,,,,,380.8108,123.263,3.86,3087635957038080.0,0.21758269898745478
21,,,10.0,1470,2.1605467796325684,0.29629629629629634,0.2562005996184247,0.2762484479573605,6.6253,439.828,13.886,,,,,
