,loss,learning_rate,epoch,step,eval_loss,eval_f_against,eval_f_favor,eval_f_avg,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,0.5757,1.8e-05,1.0,114,,,,,,,,,,,,
1,,,1.0,114,0.4668629467487335,0.41208791208791207,0.46360582306830905,0.43784686757811053,2.0671,438.775,14.029,,,,,
2,0.3345,1.6000000000000003e-05,2.0,228,,,,,,,,,,,,
3,,,2.0,228,0.38548988103866577,0.4892601431980907,0.42009685230024213,0.4546784977491664,2.0786,436.343,13.951,,,,,
4,0.238,1.4e-05,3.0,342,,,,,,,,,,,,
5,,,3.0,342,0.30289849638938904,0.4656679151061173,0.46300448430493274,0.46433619970552503,2.0824,435.552,13.926,,,,,
6,0.1925,1.2e-05,4.0,456,,,,,,,,,,,,
7,,,4.0,456,0.30051764845848083,0.45754119138149557,0.47592997811816196,0.4667355847498288,2.0789,436.293,13.95,,,,,
8,0.1656,1e-05,5.0,570,,,,,,,,,,,,
9,,,5.0,570,0.33987313508987427,0.47420147420147424,0.4695459579180509,0.4718737160597626,2.0967,432.594,13.832,,,,,
10,0.129,8.000000000000001e-06,6.0,684,,,,,,,,,,,,
11,,,6.0,684,0.357888400554657,0.45891276864728187,0.48047722342733185,0.46969499603730686,2.071,437.96,14.003,,,,,
12,0.1162,6e-06,7.0,798,,,,,,,,,,,,
13,,,7.0,798,0.3855017423629761,0.4568527918781726,0.47535596933187296,0.4661043806050228,2.0843,435.159,13.914,,,,,
14,0.0934,4.000000000000001e-06,8.0,912,,,,,,,,,,,,
15,,,8.0,912,0.3539389967918396,0.4709517923362176,0.464804469273743,0.4678781308049803,2.0748,437.142,13.977,,,,,
16,0.0828,2.0000000000000003e-06,9.0,1026,,,,,,,,,,,,
17,,,9.0,1026,0.39935386180877686,0.4793187347931873,0.46179775280898877,0.470558243801088,2.0861,434.788,13.902,,,,,
18,0.0777,0.0,10.0,1140,,,,,,,,,,,,
19,,,10.0,1140,0.41643306612968445,0.4656679151061173,0.4724669603524229,0.4690674377292701,2.0774,436.596,13.96,,,,,
20,,,10.0,1140,,,,,,,,303.1711,119.668,3.76,2386438698792960.0,0.20053651207371762
21,,,10.0,1140,2.8457345962524414,0.4136191677175284,0.2065331928345627,0.31007618027604555,6.6416,438.75,13.852,,,,,
