,loss,learning_rate,epoch,step,eval_loss,eval_f_against,eval_f_favor,eval_f_avg,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,0.8893,1.8e-05,1.0,147,,,,,,,,,,,,
1,,,1.0,147,0.7288175821304321,0.2809611829944547,0.2528180354267311,0.2668896092105929,2.672,437.5,13.847,,,,,
2,0.5485,1.6000000000000003e-05,2.0,294,,,,,,,,,,,,
3,,,2.0,294,0.5537917017936707,0.28967178560674495,0.28761061946902655,0.2886412025378857,2.6567,440.022,13.927,,,,,
4,0.3163,1.4e-05,3.0,441,,,,,,,,,,,,
5,,,3.0,441,0.39970269799232483,0.3102761172786792,0.2989985693848355,0.30463734333175735,2.663,438.981,13.894,,,,,
6,0.1604,1.2e-05,4.0,588,,,,,,,,,,,,
7,,,4.0,588,0.3945232331752777,0.3220478943022296,0.2884473877851361,0.30524764104368285,2.6631,438.957,13.893,,,,,
8,0.0719,1e-05,5.0,735,,,,,,,,,,,,
9,,,5.0,735,0.35562705993652344,0.31975616514269883,0.3104643104643105,0.31511023780350467,2.6735,437.248,13.839,,,,,
10,0.0389,8.000000000000001e-06,6.0,882,,,,,,,,,,,,
11,,,6.0,882,0.34291279315948486,0.31859883236030023,0.3191345503718729,0.3188666913660866,2.668,438.153,13.868,,,,,
12,0.0192,6e-06,7.0,1029,,,,,,,,,,,,
13,,,7.0,1029,0.34495556354522705,0.3251500272776868,0.3141289437585734,0.31963948551813015,2.6859,435.229,13.775,,,,,
14,0.0174,4.000000000000001e-06,8.0,1176,,,,,,,,,,,,
15,,,8.0,1176,0.40272995829582214,0.3251500272776868,0.316291751874574,0.32072088957613043,2.6696,437.885,13.859,,,,,
16,0.0072,2.0000000000000003e-06,9.0,1323,,,,,,,,,,,,
17,,,9.0,1323,0.3503232002258301,0.32570806100217864,0.3155737704918033,0.32064091574699094,2.6647,438.693,13.885,,,,,
18,0.009,0.0,10.0,1470,,,,,,,,,,,,
19,,,10.0,1470,0.34352725744247437,0.32487032487032486,0.31771894093686354,0.32129463290359417,2.6762,436.817,13.826,,,,,
20,,,10.0,1470,,,,,,,,381.2769,122.562,3.855,3073822502607360.0,0.20780612392490413
21,,,10.0,1470,1.5939985513687134,0.2980578676179152,0.24160316116285638,0.2698305143903858,6.639,438.921,13.858,,,,,
